runIndex,modelType,numDays,policyK,policyE,arrivalScenarioName,serviceScenarioName,taxiTakeoffScenarioName,costScenarioName,annualNumberOfStorms,totalExternalArrivals,totalDepartures,totalCancellations,totalDeicingJobs,totalHOTViolations,meanExternalArrivalsPerDay,stdExternalArrivalsPerDay,p95ExternalArrivalsPerDay,maxExternalArrivalsPerDay,meanDeparturesPerDay,meanCancellationsPerDay,stdCancellationsPerDay,p90CancellationsPerDay,p95CancellationsPerDay,p99CancellationsPerDay,maxCancellationsPerDay,numDaysWithCancellations,cancellationRatePerExternalAircraft,meanDailyCancellationRate,meanDeicingJobsPerDay,stdDeicingJobsPerDay,p95DeicingJobsPerDay,maxDeicingJobsPerDay,meanHOTViolationsPerDay,p95HOTViolationsPerDay,maxHOTViolationsPerDay,numDaysWithHOTViolations,meanDeicingJobsPerExternalAircraft,hotViolationRatePerExternalAircraft,hotViolationRatePerDeicingJob,totalDeicingQueueingDelay,totalDeicingServiceTime,meanDeicingQueueingDelayAcrossDays,stdMeanDeicingQueueingDelayAcrossDays,p95MeanDeicingQueueingDelayAcrossDays,meanDeicingServiceTimeAcrossDays,stdMeanDeicingServiceTimeAcrossDays,p95MeanDeicingServiceTimeAcrossDays,meanDailyP95DeicingQueueingDelay,p95DailyP95DeicingQueueingDelay,meanDailyP95DeicingServiceTime,p95DailyP95DeicingServiceTime,totalTaxiTakeoffQueueingDelay,totalTaxiTakeoffServiceTime,totalTaxiTakeoffSojournTime,meanTaxiTakeoffQueueingDelayAcrossDays,stdMeanTaxiTakeoffQueueingDelayAcrossDays,meanTaxiTakeoffServiceTimeAcrossDays,meanTaxiTakeoffSojournTimeAcrossDays,stdMeanTaxiTakeoffSojournTimeAcrossDays,p95MeanTaxiTakeoffSojournTimeAcrossDays,meanDailyP95TaxiTakeoffSojournTime,p95DailyP95TaxiTakeoffSojournTime,totalGroundSojournTime,meanGroundSojournTimeAcrossDays,stdMeanGroundSojournTimeAcrossDays,p95MeanGroundSojournTimeAcrossDays,p99MeanGroundSojournTimeAcrossDays,meanDailyP95GroundSojournTime,p95DailyP95GroundSojournTime,meanDailyP99GroundSojournTime,maxDailyMaxGroundSojournTime,totalDepartureDelay,totalPositiveDepartureDelay,meanPositiveDepartureDelayAcrossDays,stdMeanPositiveDepartureDelayAcrossDays,p90MeanPositiveDepartureDelayAcrossDays,p95MeanPositiveDepartureDelayAcrossDays,p99MeanPositiveDepartureDelayAcrossDays,maxMeanPositiveDepartureDelayAcrossDays,meanDailyP90PositiveDepartureDelay,meanDailyP95PositiveDepartureDelay,p95DailyP95PositiveDepartureDelay,meanDailyP99PositiveDepartureDelay,maxDailyMaxPositiveDepartureDelay,totalDelayAboveD1,totalDelayAboveD2,totalDelayAboveD3,totalDelayCost,totalFluidCost,totalActivationCost,totalCancellationCost,totalOperatingCost,meanDailyOperatingCost,stdDailyOperatingCost,minDailyOperatingCost,p90DailyOperatingCost,p95DailyOperatingCost,p99DailyOperatingCost,maxDailyOperatingCost,numPositiveCostDays,numMissingOperatingCostDays,numMissingVolumeDays,numNonDepartedDays,numUnresolvedDESDays,numNonemptyTerminalCalendars
1,DES,1,1,1,stressPeak,baseline,congestedTaxi,debugCost,1,174,137,37,241,104,174,0,174,174,137,37,0,37,37,37,37,1,0.21264367816092,0.21264367816092,241,0,241,241,104,104,104,1,1.38505747126437,0.597701149425287,0.431535269709544,80188.0718301202,1469.95786171383,460.850987529426,0,460.850987529426,8.44803368801049,0,8.44803368801049,881.20619287737,881.20619287737,22.0019876029995,22.0019876029995,1900.5492762964,2219.67661009422,4120.22588639062,10.9226969902092,0,12.7567621269783,23.6794591171875,0,23.6794591171875,80.1627835883274,80.1627835883274,61595.0913378517,449.599206845633,0,449.599206845633,449.599206845633,883.161731122626,883.161731122626,1065.08767052396,1071.62517032644,57314.0913378517,57385.1122086398,418.869432179852,0,418.869432179852,418.869432179852,418.869432179852,418.869432179852,669.885727474556,846.18285029008,846.18285029008,1035.67267052396,1046.12517032644,55390.1122086398,53395.1122086398,49453.2297930667,4855972.71488639,3919.04558714175,1,925000,5784892.76047354,5784892.76047354,0,5784892.76047354,5784892.76047354,5784892.76047354,5784892.76047354,5784892.76047354,1,0,0,1,0,0
1,analyticModel,1,1,1,stressPeak,baseline,congestedTaxi,debugCost,1,190.700000000536,0,0,199.526810282932,9.34116973668872,190.700000000536,0,190.700000000536,190.700000000536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,199.526810282932,0,199.526810282932,199.526810282932,9.34116973668872,9.34116973668872,9.34116973668872,1,1.04628636750064,0.0489835854046275,0.0468166143860206,131687.694786735,1330.17873521955,659.999999999998,0,659.999999999998,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,21.4552607570115,0,21.4552607570115,NaN,NaN,0,720.865968841522,0,720.865968841522,720.865968841522,NaN,NaN,NaN,NaN,0,131748.140258449,690.865968841522,0,690.865968841522,690.865968841522,690.865968841522,690.865968841522,NaN,NaN,NaN,NaN,NaN,675.865968841522,660.865968841522,630.865968841522,61132.2670399446,3546.3813202741,1,0,64679.6483602187,64679.6483602187,0,64679.6483602187,64679.6483602187,64679.6483602187,64679.6483602187,64679.6483602187,1,0,0,0,0,0
2,DES,1,1,1,moderateFlow,baseline,congestedTaxi,debugCost,1,90,85,5,124,39,90,0,90,90,85,5,0,5,5,5,5,1,0.0555555555555556,0.0555555555555556,124,0,124,124,39,39,39,1,1.37777777777778,0.433333333333333,0.314516129032258,15984.1256318174,868.340650140524,177.601395909082,0,177.601395909082,9.64822944600582,0,9.64822944600582,389.495016752025,389.495016752025,29.7822545981583,29.7822545981583,931.11389316737,1278.17965568779,2209.29354885516,10.3457099240819,0,14.2019961743088,24.5477060983907,0,24.5477060983907,67.9348846570695,67.9348846570695,17792.8511234847,209.327660276291,0,209.327660276291,209.327660276291,457.27698877737,457.27698877737,470.089639064702,470.50812912857,15035.8511234847,15082.19429269,177.437579914,0,177.437579914,177.437579914,177.437579914,177.437579914,415.882197307663,424.570288714661,424.570288714661,435.787155842186,439.312443231804,13882.0047166808,12802.3473257068,10795.9436848356,1106635.35139961,1322.43719412489,1,125000,1232958.78859374,1232958.78859374,0,1232958.78859374,1232958.78859374,1232958.78859374,1232958.78859374,1232958.78859374,1,0,0,1,0,0
2,analyticModel,1,1,1,moderateFlow,baseline,congestedTaxi,debugCost,1,97.9280167039751,0,0,100.031370942139,2.11139096528495,97.9280167039751,0,97.9280167039751,97.9280167039751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,100.031370942139,0,100.031370942139,100.031370942139,2.11139096528495,2.11139096528495,2.11139096528495,1,1.02147857486507,0.0215606425653185,0.0211072880977132,66020.7048218118,666.875806280927,660,0,660,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,15.3710725943113,0,15.3710725943113,NaN,NaN,0,696.412680689575,0,696.412680689575,696.412680689575,NaN,NaN,NaN,NaN,0,65260.4721263095,666.412680689575,0,666.412680689575,666.412680689575,666.412680689575,666.412680689575,NaN,NaN,NaN,NaN,NaN,651.412680689575,636.412680689575,606.412680689575,58809.2046655096,1015.61682036331,1,0,59825.8214858729,59825.8214858729,0,59825.8214858729,59825.8214858729,59825.8214858729,59825.8214858729,59825.8214858729,1,0,0,0,0,0
3,DES,1,1,1,lightFlow,baseline,congestedTaxi,debugCost,1,11,11,0,11,0,11,0,11,11,11,0,0,0,0,0,0,0,0,0,11,0,11,11,0,0,0,0,1,0,0,27.1900941313542,76.2555471051523,2.47182673921402,0,2.47182673921402,6.93232246410475,0,6.93232246410475,11.7182246911884,11.7182246911884,18.0891118108474,18.0891118108474,0,101.512879666754,101.512879666754,0,0,9.22844360606851,9.22844360606851,0,9.22844360606851,20.6319942262707,20.6319942262707,204.95852090326,18.6325928093873,0,18.6325928093873,18.6325928093873,47.3517699567045,47.3517699567045,48.5074148194893,48.5074148194893,-134.04147909674,11.0074148194893,1.00067407449902,0,1.00067407449902,1.00067407449902,1.00067407449902,1.00067407449902,4.40296592779571,10.4570440785148,10.4570440785148,11.0074148194893,11.0074148194893,0,0,0,0,18.4656787607012,1,0,19.4656787607012,19.4656787607012,0,19.4656787607012,19.4656787607012,19.4656787607012,19.4656787607012,19.4656787607012,1,0,0,0,0,0
3,analyticModel,1,1,1,lightFlow,baseline,congestedTaxi,debugCost,1,18.5519884823893,0,0,18.6756373960096,0.123649586923139,18.5519884823893,0,18.5519884823893,18.5519884823893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,18.6756373960096,0,18.6756373960096,18.6756373960096,0.123649586923139,0.123649586923139,0.123649586923139,1,1.00666499516953,0.00666503146228853,0.00662090317461182,1058.00264726048,124.504249306731,56.6514879693769,0,56.6514879693769,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,11.8927398032539,0,11.8927398032539,NaN,NaN,0,75.6329119473969,0,75.6329119473969,75.6329119473969,NaN,NaN,NaN,NaN,0,846.581256865992,45.6329119473969,0,45.6329119473969,45.6329119473969,45.6329119473969,45.6329119473969,NaN,NaN,NaN,NaN,NaN,30.6329119473969,15.6329119473969,0,697.151918158893,30.149353841368,1,0,728.301272000261,728.301272000261,0,728.301272000261,728.301272000261,728.301272000261,728.301272000261,728.301272000261,1,0,0,0,0,0
4,DES,1,3,1,stressPeak,baseline,congestedTaxi,debugCost,1,98,31,67,168,137,98,0,98,98,31,67,0,67,67,67,67,1,0.683673469387755,0.683673469387755,168,0,168,168,137,137,137,1,1.71428571428571,1.39795918367347,0.81547619047619,1024.40943552481,1085.66480693755,10.4531575053552,0,10.4531575053552,11.0782123156892,0,11.0782123156892,25.1741013575031,25.1741013575031,35.1552978830506,35.1552978830506,17406.7965860594,1442.52933770703,18849.3259237664,177.620373327136,0,14.7196871194595,192.340060446596,0,192.340060446596,359.995164218537,359.995164218537,899.627733948275,29.0202494822024,0,29.0202494822024,29.0202494822024,64.3935755253015,64.3935755253015,70.94383241537,70.94383241537,-78.3722660517246,196.692709451596,6.34492611134181,0,6.34492611134181,6.34492611134181,6.34492611134181,6.34492611134181,27.5659495990111,37.4541757848648,37.4541757848648,45.44383241537,45.44383241537,85.2469139324102,27.5165837255363,0,1540.38373246251,1166.69739296012,1,1675000,1677708.08112542,1677708.08112542,0,1677708.08112542,1677708.08112542,1677708.08112542,1677708.08112542,1677708.08112542,1,0,0,1,0,0
4,analyticModel,1,3,1,stressPeak,baseline,congestedTaxi,debugCost,1,95.2000000005361,0,0,100.788332112955,6.10167994454088,95.2000000005361,0,95.2000000005361,95.2000000005361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,100.788332112955,0,100.788332112955,100.788332112955,6.10167994454088,6.10167994454088,6.10167994454088,1,1.05870096756709,0.0640932767280097,0.0605395467572838,1189.39033889599,671.922214086366,11.8008733150086,0,11.8008733150086,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,25.2574901151451,0,25.2574901151451,NaN,NaN,0,44.9150924313801,0,44.9150924313801,44.9150924313801,NaN,NaN,NaN,NaN,0,1419.91679947539,14.9150924313801,0,14.9150924313801,14.9150924313801,14.9150924313801,14.9150924313801,NaN,NaN,NaN,NaN,NaN,0,0,0,0,722.07359991513,1,0,723.07359991513,723.07359991513,0,723.07359991513,723.07359991513,723.07359991513,723.07359991513,723.07359991513,1,0,0,0,0,0
5,DES,1,3,1,moderateFlow,baseline,congestedTaxi,debugCost,1,241,30,211,453,423,241,0,241,241,30,211,0,211,211,211,211,1,0.87551867219917,0.87551867219917,453,0,453,453,423,423,423,1,1.87966804979253,1.7551867219917,0.933774834437086,1056.46919473853,2953.22189783017,4.38368960472418,0,4.38368960472418,12.2540327710795,0,12.2540327710795,22.2038675628978,22.2038675628978,35.2086690418784,35.2086690418784,154222.807062352,4374.41455626748,158597.22161862,639.92866000976,0,18.1510977438485,658.079757753608,0,658.079757753608,1059.65083257404,1059.65083257404,341.439492063826,11.3813164021275,0,11.3813164021275,11.3813164021275,45.4988834384055,45.4988834384055,50.6467807522104,50.6467807522104,-602.060507936174,25.6456641906159,0.854855473020529,0,0.854855473020529,0.854855473020529,0.854855473020529,0.854855473020529,0,0.498883438405514,0.498883438405514,25.1467807522104,25.1467807522104,10.1467807522104,0,0,101.467807522104,13964.2416721425,1,5275000,5289066.70947966,5289066.70947966,0,5289066.70947966,5289066.70947966,5289066.70947966,5289066.70947966,5289066.70947966,1,0,0,1,0,0
5,analyticModel,1,3,1,moderateFlow,baseline,congestedTaxi,debugCost,1,251.928016703975,0,0,256.45434018853,4.53442794784405,251.928016703975,0,251.928016703975,251.928016703975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,256.45434018853,0,256.45434018853,256.45434018853,4.53442794784405,4.53442794784405,4.53442794784405,1,1.01796673329062,0.0179989030484536,0.0176812291205936,516.300354940112,1709.69560125687,2.01322525702064,0,2.01322525702064,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,14.7850547391041,0,14.7850547391041,NaN,NaN,0,23.6211802219927,0,23.6211802219927,23.6211802219927,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,8084.25624206949,1,0,8085.25624206949,8085.25624206949,0,8085.25624206949,8085.25624206949,8085.25624206949,8085.25624206949,8085.25624206949,1,0,0,0,0,0
6,DES,1,3,1,lightFlow,baseline,congestedTaxi,debugCost,1,34,34,0,34,0,34,0,34,34,34,0,0,0,0,0,0,0,0,0,34,0,34,34,0,0,0,0,1,0,0,0,283.502957849792,0,0,0,8.33832228969977,0,8.33832228969977,0,0,34.2890693508932,34.2890693508932,32.4723947057626,351.76502792788,384.237422633642,0.95507043252243,0,10.3460302331729,11.3011006656954,0,11.3011006656954,32.4710316616033,32.4710316616033,667.740380483434,19.6394229553951,0,19.6394229553951,19.6394229553951,48.7178501263506,48.7178501263506,82.5058366196659,82.5058366196659,-382.259619516566,94.8546645497025,2.78984307499125,0,2.78984307499125,2.78984307499125,2.78984307499125,2.78984307499125,12.345605148156,14.0828842546564,14.0828842546564,37.5058366196659,37.5058366196659,22.5058366196659,7.5058366196659,0,412.704281688306,224.900244120568,1,0,638.604525808874,638.604525808874,0,638.604525808874,638.604525808874,638.604525808874,638.604525808874,638.604525808874,1,0,0,0,0,0
6,analyticModel,1,3,1,lightFlow,baseline,congestedTaxi,debugCost,1,31.7519884823893,0,0,31.9427678846832,0.190779871303979,31.7519884823893,0,31.7519884823893,31.7519884823893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,31.9427678846832,0,31.9427678846832,31.9427678846832,0.190779871303979,0.190779871303979,0.190779871303979,1,1.00600842376847,0.00600843853951988,0.00597255291065305,6.75606155851432,212.951785897888,0.211505201518679,0,0.211505201518679,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,11.6825217590107,0,11.6825217590107,NaN,NaN,0,18.6020207007408,0,18.6020207007408,18.6020207007408,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,168.932659460015,1,0,169.932659460015,169.932659460015,0,169.932659460015,169.932659460015,169.932659460015,169.932659460015,169.932659460015,1,0,0,0,0,0
7,DES,1,8,1,stressPeak,baseline,congestedTaxi,debugCost,1,82,31,51,133,102,82,0,82,82,31,51,0,51,51,51,51,1,0.621951219512195,0.621951219512195,133,0,133,133,102,102,102,1,1.6219512195122,1.24390243902439,0.766917293233083,0,905.485664339966,0,0,0,11.0425081017069,0,11.0425081017069,0,0,30.0951645464295,30.0951645464295,15099.4280767427,1271.23712420384,16370.6652009465,184.139366789545,0,15.5028917585834,199.642258548128,0,199.642258548128,363.868216755761,363.868216755761,774.348978234718,24.9789992978941,0,24.9789992978941,24.9789992978941,44.8436725743156,44.8436725743156,54.7873805378123,54.7873805378123,-140.651021765282,91.7636995535328,2.96011934043654,0,2.96011934043654,2.96011934043654,2.96011934043654,2.96011934043654,11.583791176648,14.8436725743156,14.8436725743156,17.2873805378123,17.2873805378123,2.28738053781227,0,0,22.8738053781227,640.999315879084,1,1275000,1275664.87312126,1275664.87312126,0,1275664.87312126,1275664.87312126,1275664.87312126,1275664.87312126,1275664.87312126,1,0,0,1,0,0
7,analyticModel,1,8,1,stressPeak,baseline,congestedTaxi,debugCost,1,73.2000000005361,0,0,77.9288833874029,5.23750678524888,73.2000000005361,0,73.2000000005361,73.2000000005361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,77.9288833874029,0,77.9288833874029,77.9288833874029,5.23750678524888,5.23750678524888,5.23750678524888,1,1.06460223206055,0.0715506391422202,0.0672088006087806,367.854498496285,519.525889249353,4.72038713383834,0,4.72038713383834,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,26.9639669129792,0,26.9639669129792,NaN,NaN,0,39.1714725240277,0,39.1714725240277,39.1714725240277,NaN,NaN,NaN,NaN,0,671.351788763745,9.17147252402771,0,9.17147252402771,9.17147252402771,9.17147252402771,9.17147252402771,NaN,NaN,NaN,NaN,NaN,0,0,0,0,367.775827608549,1,0,368.775827608549,368.775827608549,0,368.775827608549,368.775827608549,368.775827608549,368.775827608549,368.775827608549,1,0,0,0,0,0
8,DES,1,8,1,moderateFlow,baseline,congestedTaxi,debugCost,1,138,6,132,270,264,138,0,138,138,6,132,0,132,132,132,132,1,0.956521739130435,0.956521739130435,270,0,270,270,264,264,264,1,1.95652173913043,1.91304347826087,0.977777777777778,0,1798.14149873099,0,0,0,13.0300108603695,0,13.0300108603695,0,0,31.962683118136,31.962683118136,64536.0929772501,2553.95094028856,67090.0439175386,467.652847661232,0,18.5068908716562,486.159738532889,0,486.159738532889,659.086999914562,659.086999914562,68.7396805247359,11.4566134207893,0,11.4566134207893,11.4566134207893,25.77850165671,25.77850165671,25.77850165671,25.77850165671,-117.260319475264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977.87937287525,1,3300000,3303978.87937288,3303978.87937288,0,3303978.87937288,3303978.87937288,3303978.87937288,3303978.87937288,3303978.87937288,1,0,0,1,0,0
8,analyticModel,1,8,1,moderateFlow,baseline,congestedTaxi,debugCost,1,131.128016703975,0,0,133.450555560979,2.32837335903902,131.128016703975,0,131.128016703975,131.128016703975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,133.450555560979,0,133.450555560979,133.450555560979,2.32837335903902,2.32837335903902,2.32837335903902,1,1.01771199561607,0.0177564903181246,0.0174474609659837,0.646699731796294,889.670370406529,0.0048459875575474,0,0.0048459875575474,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,14.6825757592045,0,14.6825757592045,NaN,NaN,0,21.4725563344756,0,21.4725563344756,21.4725563344756,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1968.14400735204,1,0,1969.14400735204,1969.14400735204,0,1969.14400735204,1969.14400735204,1969.14400735204,1969.14400735204,1969.14400735204,1,0,0,0,0,0
9,DES,1,8,1,lightFlow,baseline,congestedTaxi,debugCost,1,75,3,72,148,145,75,0,75,75,3,72,0,72,72,72,72,1,0.96,0.96,148,0,148,148,145,145,145,1,1.97333333333333,1.93333333333333,0.97972972972973,0,1055.94876147036,0,0,0,14.0793168196049,0,14.0793168196049,0,0,28.5304538818301,28.5304538818301,9143.01009781738,1615.62937706772,10758.6394748851,121.906801304232,0,21.5417250275696,143.448526331801,0,143.448526331801,208.672318846784,208.672318846784,98.3510417602653,32.7836805867551,0,32.7836805867551,32.7836805867551,55.5425014350196,55.5425014350196,55.5425014350196,55.5425014350196,12.8510417602653,25.5425014350196,8.51416714500652,0,8.51416714500652,8.51416714500652,8.51416714500652,8.51416714500652,25.5425014350196,25.5425014350196,25.5425014350196,25.5425014350196,25.5425014350196,10.5425014350196,0,0,105.425014350196,2242.51323074666,1,1800000,1802348.9382451,1802348.9382451,0,1802348.9382451,1802348.9382451,1802348.9382451,1802348.9382451,1802348.9382451,1,0,0,1,0,0
9,analyticModel,1,8,1,lightFlow,baseline,congestedTaxi,debugCost,1,63.5519884823894,0,0,63.9152007466588,0.36321264250762,63.5519884823894,0,63.5519884823894,63.5519884823894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,63.9152007466588,0,63.9152007466588,63.9152007466588,0.36321264250762,0.36321264250762,0.36321264250762,1,1.00571519905109,0.00571520500272416,0.00568272708627309,0.0217430491570583,426.101338311058,0.000340185885408409,0,0.000340185885408409,6.66666666666667,0,6.66666666666667,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,11.5880567362772,0,11.5880567362772,NaN,NaN,0,18.293166899973,0,18.293166899973,18.293166899973,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,904.90933241009,1,0,905.90933241009,905.90933241009,0,905.90933241009,905.90933241009,905.90933241009,905.90933241009,905.90933241009,1,0,0,0,0,0
