runIndex,modelType,numDays,policyK,policyE,arrivalScenarioName,serviceScenarioName,taxiTakeoffScenarioName,costScenarioName,annualNumberOfStorms,totalExternalArrivals,totalDeicingJobs,totalHOTViolations,meanExternalArrivalsPerDay,stdExternalArrivalsPerDay,p95ExternalArrivalsPerDay,maxExternalArrivalsPerDay,meanDeicingJobsPerDay,stdDeicingJobsPerDay,p95DeicingJobsPerDay,maxDeicingJobsPerDay,meanHOTViolationsPerDay,p95HOTViolationsPerDay,maxHOTViolationsPerDay,numDaysWithHOTViolations,meanDeicingJobsPerExternalAircraft,hotViolationRatePerExternalAircraft,hotViolationRatePerDeicingJob,totalDeicingQueueingDelay,totalDeicingServiceTime,meanDeicingQueueingDelayAcrossDays,stdMeanDeicingQueueingDelayAcrossDays,p95MeanDeicingQueueingDelayAcrossDays,meanDeicingServiceTimeAcrossDays,stdMeanDeicingServiceTimeAcrossDays,p95MeanDeicingServiceTimeAcrossDays,meanDailyP95DeicingQueueingDelay,p95DailyP95DeicingQueueingDelay,meanDailyP95DeicingServiceTime,p95DailyP95DeicingServiceTime,totalTaxiTakeoffQueueingDelay,totalTaxiTakeoffServiceTime,totalTaxiTakeoffSojournTime,meanTaxiTakeoffQueueingDelayAcrossDays,stdMeanTaxiTakeoffQueueingDelayAcrossDays,meanTaxiTakeoffServiceTimeAcrossDays,meanTaxiTakeoffSojournTimeAcrossDays,stdMeanTaxiTakeoffSojournTimeAcrossDays,p95MeanTaxiTakeoffSojournTimeAcrossDays,meanDailyP95TaxiTakeoffSojournTime,p95DailyP95TaxiTakeoffSojournTime,totalGroundSojournTime,meanGroundSojournTimeAcrossDays,stdMeanGroundSojournTimeAcrossDays,p95MeanGroundSojournTimeAcrossDays,p99MeanGroundSojournTimeAcrossDays,meanDailyP95GroundSojournTime,p95DailyP95GroundSojournTime,meanDailyP99GroundSojournTime,maxDailyMaxGroundSojournTime,totalDepartureDelay,totalPositiveDepartureDelay,meanPositiveDepartureDelayAcrossDays,stdMeanPositiveDepartureDelayAcrossDays,p90MeanPositiveDepartureDelayAcrossDays,p95MeanPositiveDepartureDelayAcrossDays,p99MeanPositiveDepartureDelayAcrossDays,maxMeanPositiveDepartureDelayAcrossDays,meanDailyP90PositiveDepartureDelay,meanDailyP95PositiveDepartureDelay,p95DailyP95PositiveDepartureDelay,meanDailyP99PositiveDepartureDelay,maxDailyMaxPositiveDepartureDelay,totalDelayAboveD1,totalDelayAboveD2,totalDelayAboveD3,totalDelayCost,totalFluidCost,totalActivationCost,totalOperatingCost,meanDailyOperatingCost,stdDailyOperatingCost,minDailyOperatingCost,p90DailyOperatingCost,p95DailyOperatingCost,p99DailyOperatingCost,maxDailyOperatingCost,numPositiveCostDays,numMissingOperatingCostDays,numMissingVolumeDays,numIncompleteDESDays,numNonemptyTerminalCalendars
6,DES,2,6,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,2,1314,1314,0,657,43.8406204335659,688,688,657,43.8406204335659,688,688,0,0,0,0,1,0,0,0,0.447469011173963,0,0,0,0.000341387992128468,2.54287113598729e-05,0.000359368806367869,0,0,0.00114192380791378,0.00122976711521358,202.051734546113,1066.82097768606,1268.87271223217,0.152593376240767,0.0352193502390124,0.811611015057641,0.964204391298407,0.0435245223994055,0.994980876234933,2.37764838027819,2.52028132183962,1269.32018124335,0.964545779290536,0.0434990936880436,0.995304283412821,0.995304283412821,2.3778656847185,2.52043061592327,3.13980428979309,4.29684198034943,-40253.6798187566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969984262209448,2,2.96998426220945,1.48499213110472,0.0102323001188344,1.47775680230356,1.49222745990589,1.49222745990589,1.49222745990589,1.49222745990589,2,0,0,0,0
6,analyticModel,2,6,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,2,1279.77987813106,1279.77987813106,0,639.889939065532,15.556349186104,650.889939065532,650.889939065532,639.889939065532,15.556349186104,650.889939065532,650.889939065532,0,0,0,0,1,0,0,1.54207147417323e-13,0.426593292710355,1.20495277608084e-16,1.82739096705667e-20,1.20508199213531e-16,0.000333333333333333,0,0.000333333333333333,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.960287004724251,6.95575531151741e-06,0.960291923186,NaN,NaN,0,0.960620338057585,6.95575531151741e-06,0.960625256519334,0.960625256519334,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.9251601159599,2,2.9251601159599,1.46258005797995,0.0245930229530021,1.44519016468001,1.47996995127989,1.47996995127989,1.47996995127989,1.47996995127989,2,0,0,0,0
7,DES,1,6,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,1,60,60,0,60,0,60,60,60,0,60,60,0,0,0,0,1,0,0,0,0.0213025607636779,0,0,0,0.000355042679394631,0,0.000355042679394631,0,0,0.00176878010669026,0.00176878010669026,0.412648749957924,45.4657534549631,45.8784022049211,0.0068774791659654,0,0.757762557582719,0.764640036748685,0,0.764640036748685,1.59319395139133,1.59319395139133,45.8997047656847,0.764995079428079,0,0.764995079428079,0.764995079428079,1.59370789488341,1.59370789488341,2.12591957572389,2.16357503208648,-1872.60029523432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578692682175231,1,1.00578692682175,1.00578692682175,0,1.00578692682175,1.00578692682175,1.00578692682175,1.00578692682175,1.00578692682175,1,0,0,0,0
7,analyticModel,1,6,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,1,68.9119308943358,68.9119308943358,0,68.9119308943358,0,68.9119308943358,68.9119308943358,68.9119308943358,0,68.9119308943358,68.9119308943358,0,0,0,0,1,0,0,9.29344197904548e-16,0.0229706436314453,1.34859694953191e-17,0,1.34859694953191e-17,0.000333333333333333,0,0.000333333333333333,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.86411121173023,0,0.86411121173023,NaN,NaN,0,0.864444545063563,0,0.864444545063563,0.864444545063563,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.00624006828185544,1,1.00624006828186,1.00624006828186,0,1.00624006828186,1.00624006828186,1.00624006828186,1.00624006828186,1.00624006828186,1,0,0,0,0
8,DES,2,6,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,2,434,434,0,217,52.3259018078045,254,254,217,52.3259018078045,254,254,0,0,0,0,1,0,0,0,0.137887688219323,0,0,0,0.000320903686476183,2.64593951275874e-05,0.000339613304196994,0,0,0.000994015068358598,0.00105214262807378,3.74343647636352,319.070255493769,322.813691970132,0.00825395100570482,0.00308110771754684,0.729557710597135,0.73781166160284,0.0497541512817552,0.772993159366351,1.778235079324,1.9133990596972,322.951579658351,0.738132565289315,0.0497276918866305,0.773295353435106,0.773295353435106,1.77898878772356,1.91471199091854,2.27448080611829,4.49066787608962,-13193.5484203416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287156059406141,2,2.28715605940614,1.14357802970307,0.0564676036795075,1.10364940422394,1.1835066551822,1.1835066551822,1.1835066551822,1.1835066551822,2,0,0,0,0
8,analyticModel,2,6,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,2,435.323861788671,435.323861788671,0,217.661930894336,41.0829039869382,246.711930894335,246.711930894335,217.661930894336,41.0829039869382,246.711930894335,246.711930894335,0,0,0,0,1,0,0,3.86184267547542e-15,0.145107953929557,8.90996680546487e-18,4.10839571948987e-19,9.20047425276977e-18,0.000333333333333333,0,0.000333333333333333,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.858614662135436,0.000493487490233858,0.858963610486211,NaN,NaN,0,0.858947995468769,0.000493487490233858,0.859296943819544,0.859296943819544,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.303208021630208,2,2.30320802163021,1.1516040108151,0.06364517431096,1.10660007647002,1.19660794516018,1.19660794516018,1.19660794516018,1.19660794516018,2,0,0,0,0
9,DES,1,6,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,1,293,293,0,293,0,293,293,293,0,293,293,0,0,0,0,1,0,0,0,0.0741854206938199,0,0,0,0.000253192562094948,0,0.000253192562094948,0,0,0.000827103828315215,0.000827103828315215,19.7305371872661,216.881764611155,236.612301798421,0.0673397173626829,0,0.740210800720666,0.807550518083349,0,0.807550518083349,2.00722578042872,2.00722578042872,236.686487219115,0.807803710645445,0,0.807803710645445,0.807803710645445,2.0072534860728,2.0072534860728,3.07318197105583,4.74685217912808,-8787.31351278089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483991876131695,1,1.04839918761317,1.04839918761317,0,1.04839918761317,1.04839918761317,1.04839918761317,1.04839918761317,1.04839918761317,1,0,0,0,0
9,analyticModel,1,6,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,1,276.889939065532,276.889939065532,0,276.889939065532,0,276.889939065532,276.889939065532,276.889939065532,0,276.889939065532,276.889939065532,0,0,0,0,1,0,0,1.14638011916653e-14,0.0692224847663831,4.14020142095238e-17,0,4.14020142095238e-17,0.00025,0,0.00025,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.96066168005704,0,0.96066168005704,NaN,NaN,0,0.96091168005704,0,0.96091168005704,0.96091168005704,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.0451613267933796,1,1.04516132679338,1.04516132679338,0,1.04516132679338,1.04516132679338,1.04516132679338,1.04516132679338,1.04516132679338,1,0,0,0,0
10,DES,2,6,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,2,386,386,0,193,35.3553390593274,218,218,193,35.3553390593274,218,218,0,0,0,0,1,0,0,0,0.101123863290804,0,0,0,0.000262104880049982,1.37519282187478e-06,0.000263077288219769,0,0,0.000949352732150116,0.00105457814497317,31.3855516085749,308.781686394693,340.167238003268,0.0811091349960522,0.0021899238462634,0.796886769511073,0.877995904507125,0.0356613427296504,0.903212281777478,2.19910257245665,2.25425664513444,340.268361866559,0.878258009387175,0.0356599675368288,0.903473414249359,0.903473414249359,2.19929822256606,2.25444836101675,2.96640986363536,4.06543062336809,-11761.7316381334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368330222397228,2,2.03683302223972,1.01841651111986,0.00788447234494121,1.01284134725868,1.02399167498105,1.02399167498105,1.02399167498105,1.02399167498105,2,0,0,0,0
10,analyticModel,2,6,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,2,409.779878131065,409.779878131065,0,204.889939065532,22.6274169979695,220.889939065532,220.889939065532,204.889939065532,22.6274169979695,220.889939065532,220.889939065532,0,0,0,0,1,0,0,1.70509386622663e-14,0.102444969532766,4.16149023739967e-17,8.88727593773774e-20,4.16777449048152e-17,0.00025,0,0.00025,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.960899446469186,9.92584871362483e-05,0.96096963281853,NaN,NaN,0,0.961149446469186,9.92584871362483e-05,0.96121963281853,0.96121963281853,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.0369937632784724,2,2.03699376327847,1.01849688163924,0.00675496446655213,1.01372040045826,1.02327336282021,1.02327336282021,1.02327336282021,1.02327336282021,2,0,0,0,0
